Account,SPID,MID,Time,Channel,kWh
35010543227,2300585143,L109330558,11/6/2018 10:00:00 AM,10,1.012
35010543227,2300585143,L109330558,11/6/2018 11:00:00 AM,10,0.823
35010543227,2300585143,L109330558,11/6/2018 12:00:00 PM,10,1.21
35010543227,2300585143,L109330558,11/6/2018 1:00:00 PM,10,0.866
35010543227,2300585143,L109330558,11/6/2018 2:00:00 PM,10,1.031
35010543227,2300585143,L109330558,11/6/2018 3:00:00 PM,10,0.975
35010543227,2300585143,L109330558,11/6/2018 4:00:00 PM,10,0.775
35010543227,2300585143,L109330558,11/6/2018 5:00:00 PM,10,1.754
35010543227,2300585143,L109330558,11/6/2018 6:00:00 PM,10,1.278
35010543227,2300585143,L109330558,11/6/2018 7:00:00 PM,10,1.992
35010543227,2300585143,L109330558,11/6/2018 8:00:00 PM,10,1.052
35010543227,2300585143,L109330558,11/6/2018 9:00:00 PM,10,1.241
35010543227,2300585143,L109330558,11/6/2018 10:00:00 PM,10,0.783
35010543227,2300585143,L109330558,11/6/2018 11:00:00 PM,10,0.697
35010543227,2300585143,L109330558,11/7/2018 12:00:00 AM,10,0.614
35010543227,2300585143,L109330558,11/7/2018 1:00:00 AM,10,0.698
35010543227,2300585143,L109330558,11/7/2018 2:00:00 AM,10,0.643
35010543227,2300585143,L109330558,11/7/2018 3:00:00 AM,10,0.623
35010543227,2300585143,L109330558,11/7/2018 4:00:00 AM,10,0.532
35010543227,2300585143,L109330558,11/7/2018 5:00:00 AM,10,0.634
35010543227,2300585143,L109330558,11/7/2018 6:00:00 AM,10,0.629
35010543227,2300585143,L109330558,11/7/2018 7:00:00 AM,10,0.847
35010543227,2300585143,L109330558,11/7/2018 8:00:00 AM,10,1.085
35010543227,2300585143,L109330558,11/7/2018 9:00:00 AM,10,1.179
35010543227,2300585143,L109330558,11/7/2018 10:00:00 AM,10,0.686
35010543227,2300585143,L109330558,11/7/2018 11:00:00 AM,10,0.716
35010543227,2300585143,L109330558,11/7/2018 12:00:00 PM,10,0.908
35010543227,2300585143,L109330558,11/7/2018 1:00:00 PM,10,0.758
35010543227,2300585143,L109330558,11/7/2018 2:00:00 PM,10,0.773
35010543227,2300585143,L109330558,11/7/2018 3:00:00 PM,10,0.667
